Extraction Day;Calendar day;Flight Number;Sched Airport Arriva;Sched Airport Depart;Pax total;Coupons+YQ on current bookings;Current revenue;Group pax;Cabin Capacity
27/04/2018;16/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;16/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;16/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;16/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;16/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;17/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;17/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;17/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;17/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;17/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;17/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;18/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;18/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;18/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;18/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;18/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;18/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;19/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;19/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;19/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;19/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;19/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;19/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;20/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;20/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;21/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;21/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;21/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;21/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;22/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;22/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;22/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;22/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;22/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;22/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;23/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;23/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;23/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;23/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;23/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;23/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;24/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;24/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;24/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;24/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;24/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;24/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;25/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;25/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;25/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;25/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;25/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;25/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;26/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;26/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;26/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;26/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;26/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;26/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;27/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;27/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;28/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;28/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;28/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;28/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;29/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;29/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;29/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;29/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;29/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;29/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;30/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;30/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;30/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;30/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;30/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
27/04/2018;30/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;01/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;01/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;01/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;01/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;01/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;01/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;02/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;02/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;02/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;02/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;02/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;02/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;03/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;03/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;03/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;03/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;03/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;03/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;04/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;04/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;04/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;04/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;04/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;04/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;05/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;05/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;05/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;05/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;05/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;05/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;06/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;06/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;07/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;07/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;07/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;07/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;08/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;08/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;08/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;08/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;08/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;08/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;09/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;09/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;09/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;09/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;09/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;09/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;10/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;10/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;10/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;10/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;10/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;10/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;11/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;11/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;11/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;11/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;11/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;11/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;12/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;12/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;12/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;12/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;12/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;12/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;13/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;13/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;14/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;14/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;14/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;14/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;15/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;15/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;15/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;15/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;15/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;15/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;16/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;16/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;16/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;16/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;16/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;16/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;17/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;17/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;17/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;17/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;17/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;17/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;18/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;18/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;18/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;18/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;18/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;18/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;19/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;19/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;19/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;19/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;19/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;19/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;20/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;20/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;21/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;21/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;21/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;21/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;22/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;22/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;22/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;22/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;22/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;22/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;23/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;23/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;23/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;23/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;23/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;23/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;24/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;24/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;24/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;24/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;24/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;24/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;25/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;25/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;25/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;25/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;25/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;25/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;26/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;26/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;26/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;26/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;26/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;26/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;27/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;27/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;28/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;28/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;28/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;28/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;29/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;29/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;29/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;29/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;29/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;29/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;30/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;30/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;30/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;30/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;30/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
28/04/2018;30/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
29/04/2018;01/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
29/04/2018;01/04/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
29/04/2018;01/04/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
29/04/2018;01/04/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
29/04/2018;01/04/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
29/04/2018;01/04/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
29/04/2018;02/04/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
